Product Name,Brand Name,Price (Ksh),Discount (%),Total Reviews,Original Rating,Adjusted Rating,Popularity
Hisense REF094DR - 94 Liters Fridge - Silver (2YRs WRTY),,20799.0,,0,0,1.25,Low
Hisense Washing Machine Top Loading 8kg (2YRs WRTY),,39999.0,,0,0,1.25,Low
Hisense Air Conditioner 18000 Btu (2YRs WRTY),,69499.0,,0,0,1.25,Low
"Nunix 3 In 1 Blender, Grinder & Chopper AK-444..",,2900.0,,0,0,1.25,Low
Ramtons RM/553 - 21 Litre Tank Wet And Dry Vacuum Cleaner - Black (1YR WRTY),,12100.0,,0,0,1.25,Low
"AILYONS GS014-5, 2 Burner Glass Top Gas Cooker & Infrared Double Burner (1YR WRTY)",,2249.0,,0,0,1.25,Low
Hisense Fridge 205 Liters Double Door REF205DR (2YRs WRTY),,45599.0,,0,0,1.25,Low
Havells Stealth Wood 1200mm Designer Ceiling Fan,,25000.0,,0,0,1.25,Low
Ramtons EB/303 4 Gas 55x55 Dark Red Cooker,,27172.0,,0,0,1.25,Low
VON VART-25DMS Double Door Fridge 168L - Dark Silver,,49995.0,,0,0,1.25,Low
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,,1040.0,,0,0,1.25,Low
Garnier Anti-Blemish Charcoal Serum With AHA+BHA & Niacinamide For Acne Prone Skin,,1406.0,,0,0,1.25,Low
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,,1478.0,,0,0,1.25,Low
Garnier Even & Matte Vitamin  C Booster Serum 30ml.,,1279.0,,0,0,1.25,Low
L'Oréal professionnel Steampod 3.0 Steam Powered Flat Iron & Hair Straightener,,30510.0,,0,0,1.25,Low
"Vitamin C Firming Anti Wrinkle,Anti Aging, Anti-Acne,Vitamin C Serum ..",,499.0,,0,0,1.25,Low
NIVEA 5 In 1 Complete Care Nourishing Cocoa Body Lotion With Cocoa Butter & Vitamin E – 200ML,,288.0,,0,0,1.25,Low
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)",,651.0,,0,0,1.25,Low
Garnier Vitamin C Booster Serum 30ml Twin Pack,,2446.0,,0,0,1.25,Low
Garnier Pure Active 3 In1 Charcoal  Anti  Blackhead Mask Wash Scrub -  150ml,,1057.0,,0,0,1.25,Low
Qasil Naturals Qasil Powder Organic & Multi-purpose Skincare,,599.0,,0,0,1.25,Low
Garnier Brightening Night Serum With 10% Pure Vitamin C,,2155.0,,0,0,1.25,Low
NIVEA Lemongrass & Oil Shower Gel For Women - 250ml (Pack Of 2),,678.0,,0,0,1.25,Low
Dr. Rashel Vitamin C Essense Toner+Face Serum+Face Cream,,1188.0,,0,0,1.25,Low
Garnier Even & Matte Vitamin  C Booster Serum 30ml.,,1279.0,,0,0,1.25,Low
Garnier Anti-Blemish Charcoal Serum With AHA+BHA & Niacinamide For Acne Prone Skin,,1406.0,,0,0,1.25,Low
Garnier Pure Active 3 In1 Charcoal  Anti  Blackhead Mask Wash Scrub -  150ml,,1057.0,,0,0,1.25,Low
Garnier Even & Matte Vitamin C Protection Cream SPF30 50ml,,914.0,,0,0,1.25,Low
Garnier AHA+BHA Charcoal Serum + Pure Active 3-in-1 Charcoal Mask (Anti Acne Skin Care Kit),,2090.0,,0,0,1.25,Low
Maybelline New York Superstay Skin Tint Shade  63 With Vitamin C,,1900.0,,0,0,1.25,Low
Garnier Brightening Night Serum With 10% Pure Vitamin C,,2155.0,,0,0,1.25,Low
Nice & Lovely Baby Range Value Pack,,2210.0,,0,0,1.25,Low
Garnier Even & Matte Vitamin C Cleansing Foam,,533.0,,0,0,1.25,Low
Garnier Skin Active Pure Charcoal Black Tissue Face Mask,,275.0,,0,0,1.25,Low
Garnier Even & Matte Vitamin C  Booster Serum15ml,,674.0,,0,0,1.25,Low
Garnier Bye Acne & Dark Spots Skin Care Kit.,,3303.0,,0,0,1.25,Low
Maybelline Lasting Fix Setting Spray,,1758.0,,0,0,1.25,Low
Garnier Bright Complete Bundle Pack,,3102.0,,0,0,1.25,Low
Garnier Vitamin C Booster Serum 30ml Twin Pack,,2446.0,,0,0,1.25,Low
12 Inches 30 Cm European Style Creative Decorative Round Wooden Wall Clock,,1280.0,,0,0,1.25,Low
5 By 8 Soft Fluffy Patches Carpets Non-slip Rugs Floor Mat,,2599.0,,0,0,1.25,Low
Silentnight Throw Pillow And Cover,,900.0,,0,0,1.25,Low
Go Turkey WERSOFT MATS - Light Brown,,965.0,,0,0,1.25,Low
Miniso Aromatic Scent Scent Diffuser 23ML ( Tropical Peach ),,309.0,,0,0,1.25,Low
Aworky Limited Bathroom Mat  (Shell Shape),,480.0,,0,0,1.25,Low
Curtains Grey 2Pcs 1.5M Each + FREE SHEER,,3799.0,,0,0,1.25,Low
Aworky Limited DOORMAT(PET DESIGN),,479.0,,0,0,1.25,Low
5By8 Soft Chocolate Fluffy Carpets Non-slip Rugs Floor Mat,,2599.0,,0,0,1.25,Low
Welcome Rubber Doormat Door Mat,,1300.0,,0,0,1.25,Low
Miniso Aromatic Scent Diffuser,,359.0,,0,0,1.25,Low
Aworky Limited Toilet Set - Velvet Grey,,1350.0,,0,0,1.25,Low
Modern Fantasy Butterfly Wall Clock Dial Silent Movement,,1650.0,,0,0,1.25,Low
Aworky Limited Stripped Door Mat,,400.0,,0,0,1.25,Low
Extendable Curtain Rods Double Adjustable + FREE Holders And Screws,,1699.0,,0,0,1.25,Low
"HP Refurbished Elitebook 820  Core  I5, 8GB RAM 500GB  HDD -12.5"", Black",,18719.0,,0,0,1.25,Low
HP REFURBISHED PROBOOK 11 G2 CORE I3 8GB 500HDD *TOUCHSCREEN* WINDOWS 10 () (6 Months WRTY),,22079.0,,0,0,1.25,Low
Lenovo Refurbished Thinkpad 11E Celeron - 4 GB RAM - SSD 128GB 11.6'' - Black (6 Months WRTY),,15839.0,,0,0,1.25,Low
"HP Refurbished EliteBook 8470p Core I5 - HDD 500GB - 4GB RAM WIFI CAM Silver - 14"" 6 Months WRTY",,15551.0,,0,0,1.25,Low
HP Elitebook 840 G3 Intel Core i5 6th Gen 8GB RAM 256GB SSD 14 Inches FHD Display Refurbished,,27299.0,,0,0,1.25,Low
"Lenovo Refurbished ThinkPad Yoga 11e X360 Intel -Touchscreen- 11.6""- 4GB RAM - 500GB - Black (6M WRTY)",,15455.0,,0,0,1.25,Low
"HP Refurbished EliteBook 8460p, Intel Core I5, 8GB RAM, 256GB SSD, 14'' + FREE MOUSE",,19200.0,,0,0,1.25,Low
"HP Refurbished EliteBook 8470p - Core I5 - HDD 500GB - 4GB RAM DVDRW CAM Silver - 14""",,15839.0,,0,0,1.25,Low
"Canon PIXMA G2410-MEGATANK MFP Printer, 1YR WRTY",,23999.0,,0,0,1.25,Low
"HP Refurbished 8GB RAM, Fast Speed 256GB SSD EliteBook 8460p, Intel Core I5, 14'' Windows 11 PRO Activated, Office & Basic software Installed + FREE MOUSE",,19199.0,,0,0,1.25,Low
"Lenovo REFURBISHED THINKPAD YOGA 11E 4 GB RAM, 320HDD",,13439.0,,0,0,1.25,Low
"HP Refurbished EliteBook 820, Intel Core I5,  Slim Model ,8GB RAM , 500HDD,  Black- 12.5""",,18719.0,,0,0,1.25,Low
Qwen Aluminum Alloy Laptop Stand Computer Stand,,605.0,,0,0,1.25,Low
Lenovo Refurbished Thinkpad Intel Core I5 8 GB RAM 500 GB HDD 12.5'' Black (6 Months WRTY),,19679.0,,0,0,1.25,Low
"HP EliteBook 820 G1 Core I7 8GB RAM 1TB Slim Ultrabook Laptop Refurbished, 6 Months WRTY (6 Months WRTY)",,24958.0,,0,0,1.25,Low
Fashion Women's V-Neck Short Sleeved Bodycon Floral Dress,,1090.0,,0,0,1.25,Low
Fashion Ladies 3-Pack Round Neck Heavy Duty 180 GSM T-shirt Navy Blue White Neck/White/White Navy Blue Neck,,899.0,,0,0,1.25,Low
